#{"t_start": 1746146199.3406408, "env_id": "CartPole-v1"}
r,l,t
14.416453,17,113.478531
12.387092,15,113.492216
13.554262,16,113.506919
14.211213,17,113.52424
17.887762,21,113.546534
15.935257,19,113.564513
18.422819,22,113.584944
19.444563,23,113.606689
18.320905,22,113.629343
21.911959,26,113.654409
13.521837,16,113.670206
21.092441,25,113.694076
20.197788,24,113.717212
14.961481,18,113.733675
19.492492,23,113.754985
21.934741,26,113.779581
18.588307,22,113.80092
19.514967,23,113.822366
17.479711,21,113.841512
17.370774,21,113.861366
17.722236,21,113.881977
19.326153,23,113.903169
16.721153,20,113.921473
14.182647,17,113.939163
21.187212,25,113.964507
18.310731,22,113.985604
17.006019,20,114.018701
16.524066,20,114.038927
16.698329,20,114.059665
22.061544,26,114.084954
22.108933,26,114.10999
19.757102,24,114.133255
21.980306,26,114.159598
16.702224,20,114.178916
16.755043,20,114.198268
17.388544,21,114.219401
18.703538,22,114.242539
21.101378,25,114.266675
21.973867,26,114.291716
21.79873,26,114.317931
24.34654,29,114.347828
19.938027,24,114.371524
20.456187,25,114.396231
24.223102,29,114.426285
18.784215,23,114.448707
21.799324,26,114.474057
20.830682,25,114.49812
21.727952,26,114.524552
19.923541,24,114.549801
83.711458,109,114.660556
21.455589,26,114.685403
20.976462,25,114.710911
24.415735,29,114.740764
25.915111,31,114.772404
23.106222,28,114.799321
18.213144,22,114.821661
27.251634,33,114.855303
20.364324,24,114.878529
19.875207,24,114.901831
16.685081,20,114.922343
18.650936,22,114.945918
21.123255,26,114.971087
18.501331,22,114.992383
18.812739,23,115.015498
18.735694,22,115.038593
82.643114,108,115.142618
27.463656,33,115.174903
84.736236,110,115.281283
22.527064,27,115.30696
85.193039,110,115.416449
88.103259,113,115.527004
82.382002,106,115.634426
29.305581,35,115.666118
27.983008,35,115.697485
78.943427,101,115.791358
80.063348,103,115.887642
84.256659,107,115.987554
84.275588,107,116.085916
89.442276,113,116.191113
85.031683,107,116.301744
23.961312,29,116.330665
83.095589,105,116.426535
83.34758,105,116.524809
86.627655,109,116.630551
87.041258,109,116.734069
85.89774,108,116.841965
89.28357,112,116.946937
80.395955,102,117.054125
78.6657,101,117.152266
83.816292,106,117.25498
90.336029,113,117.364353
84.572971,107,117.470433
87.804067,111,117.577339
83.526454,106,117.679018
95.53446,119,117.793599
92.611567,116,117.908559
84.512962,108,118.014148
76.638387,99,118.110057
83.992998,107,118.214933
78.172547,101,118.311048
80.020687,103,118.407334
88.187335,112,118.510433
83.03654,106,118.609107
87.379655,111,118.719725
93.359442,117,118.834993
88.650925,112,119.020533
81.098453,104,119.121704
83.010155,106,119.227252
87.200872,111,119.336078
89.393037,113,119.446717
90.818908,115,119.558177
96.417778,120,119.681759
86.481919,110,119.789054
85.732553,109,119.895089
90.842911,115,120.008321
96.329346,121,120.128569
96.186211,121,120.253807
96.499433,121,120.372098
96.271005,121,120.488971
98.047477,123,120.615849
100.843938,126,120.729947
98.28689,123,120.845804
98.698218,124,120.966509
112.91389,140,121.104264
112.624098,140,121.242224
110.511624,137,121.37534
109.909948,136,121.507788
116.942061,145,121.650971
121.167178,150,121.798167
121.464656,151,121.937049
134.2709,166,122.086358
124.457294,154,122.226878
129.733624,159,122.374092
147.511007,179,122.540523
128.373508,158,122.682257
149.071551,180,122.847163
158.490758,191,123.024668
152.129311,184,123.201896
199.262275,238,123.435379
232.959633,277,123.695133
275.52711,299,124.107679
113.524174,126,124.225516
192.049562,210,124.425974
48.128048,54,124.478316
39.827967,44,124.518334
201.073004,219,124.732627
157.379938,175,124.894748
156.829273,174,125.060278
51.628977,58,125.113533
449.999433,491,125.566567
246.280916,267,125.813872
47.645081,52,125.864216
115.491495,127,125.982661
61.104331,67,126.044366
205.851769,222,126.251705
112.720113,121,126.371285
178.493159,191,126.556767
94.744065,103,126.658708
55.372955,61,126.720435
20.835453,23,126.742482
28.367015,31,126.773547
465.451403,500,127.257545
10.68425,12,127.269497
75.422782,82,127.351812
56.555404,61,127.411436
467.417472,500,127.882185
11.46414,13,127.893992
367.041627,431,128.294626
107.83445,123,128.409401
470.302063,500,129.191033
465.995915,500,129.646306
467.19799,500,130.101138
470.780178,500,130.554129
467.018837,500,131.009664
469.689035,500,131.464248
