#{"t_start": 1746150006.732833, "env_id": "CartPole-v1"}
r,l,t
472.383975,500,93.894708
463.906885,500,94.391572
469.607406,500,94.898811
461.583127,500,95.401607
472.874017,500,95.908262
469.68658,500,96.416598
471.280426,500,96.913136
470.722454,500,97.405554
470.006137,500,97.887608
463.203271,500,98.370475
456.341518,500,98.836458
460.647885,500,99.316303
459.310568,500,99.786406
464.324085,500,100.252266
466.275883,500,100.726795
463.72281,500,101.213222
464.176784,500,101.70001
465.053369,500,102.185743
465.058495,500,102.665161
460.264783,500,103.147137
460.741902,500,103.631468
464.800924,500,104.113394
459.779995,500,104.598453
460.987592,500,105.082578
468.007726,500,105.565027
458.983427,500,106.038359
457.217788,500,106.507806
458.591774,500,106.971025
463.433242,500,107.44486
464.73501,500,107.916754
462.164711,500,108.373209
456.359554,500,108.824145
463.59948,500,109.29212
456.3373,500,109.762381
455.039844,500,110.231575
447.742411,500,110.696435
442.286367,500,111.177291
449.751841,500,111.667304
453.409481,500,112.148693
454.820662,500,112.634233
458.474082,500,113.107381
466.504457,500,113.58054
459.998066,500,114.045329
458.125588,500,114.510203
454.651435,500,114.980719
